[2025-12-14 13:31:24] [Key.ctrl]
[2025-12-14 13:31:25] [BACKSPACE]
[2025-12-14 13:31:26] [Key.caps_lock]
[2025-12-14 13:31:27] h
[2025-12-14 13:31:27] [Key.caps_lock]
[2025-12-14 13:31:28] e
[2025-12-14 13:31:28] y
[2025-12-14 13:31:28] [SPACE]
[2025-12-14 13:31:28] t
[2025-12-14 13:31:28] h
[2025-12-14 13:31:29] e
[2025-12-14 13:31:29] r
[2025-12-14 13:31:29] e
[2025-12-14 13:31:29] [SPACE]
[2025-12-14 13:31:29] t
[2025-12-14 13:31:30] h
[2025-12-14 13:31:30] i
[2025-12-14 13:31:30] s
[2025-12-14 13:31:30] [SPACE]
[2025-12-14 13:31:31] t
[2025-12-14 13:31:31] h
[2025-12-14 13:31:31] e
[2025-12-14 13:31:31] [SPACE]
[2025-12-14 13:31:32] t
[2025-12-14 13:31:32] e
[2025-12-14 13:31:32] s
[2025-12-14 13:31:32] t
[2025-12-14 13:31:32] [SPACE]
[2025-12-14 13:31:32] o
[2025-12-14 13:31:32] f
[2025-12-14 13:31:32] [SPACE]
[2025-12-14 13:31:33] m
[2025-12-14 13:31:33] y
[2025-12-14 13:31:33] [SPACE]
[2025-12-14 13:31:33] s
[2025-12-14 13:31:33] c
[2025-12-14 13:31:34] r
[2025-12-14 13:31:34] i
[2025-12-14 13:31:34] p
[2025-12-14 13:31:34] t
[2025-12-14 13:31:35] [SPACE]
[2025-12-14 13:31:38] ,
[2025-12-14 13:31:38] [SPACE]
[2025-12-14 13:31:41] d
[2025-12-14 13:31:41] o
[2025-12-14 13:31:41] n
[2025-12-14 13:31:41] e
[2025-12-14 13:31:41] [SPACE]
[2025-12-14 13:31:41] m
[2025-12-14 13:31:42] [BACKSPACE]
[2025-12-14 13:31:43] b
[2025-12-14 13:31:43] y
[2025-12-14 13:31:44] [SPACE]
[2025-12-14 13:31:44] m
[2025-12-14 13:31:44] a
[2025-12-14 13:31:44] [BACKSPACE]
[2025-12-14 13:31:45] [BACKSPACE]
[2025-12-14 13:31:45] c
[2025-12-14 13:31:46] a
[2025-12-14 13:31:46] r
[2025-12-14 13:31:46] c
[2025-12-14 13:31:46] x
[2025-12-14 13:31:48] .
[2025-12-14 13:31:49] [Key.esc]
